Hostname,Distro,CVE ID,Compliance ID,Type,Severity,Packages,Source Package,Package Version,Package License,CVSS,Fix Status,Vulnerability Tags,Description,Cause,Published,Services,Cluster,Vulnerability Link
my-fake-host-5.somewhere.cloud,redhat-RHEL7,CVE-2021-41772,411,image,high,go,,1.17.1,,7.50,"fixed in 1.17.3, 1.16.10",,"DOCUMENTATION: A vulnerability was found in archive/zip of the Go standard library. Applications written in Go where Reader.Open (the API implementing io/fs.FS introduced in Go 1.16) can panic when parsing a crafted ZIP archive containing completely invalid names or an empty filename argument.             STATEMENT: * In OpenShift Container Platform multiple components are written in Go and use archive/zip from the standard library. However, all such components are short lived client side tools, not long lived server side executables. As the maximum impact of this vulnerability is a denial of service in client utilities, this vulnerability is rated Low for OpenShift Container Plaform.  * Because Service Telemetry Framework1.2 will be retiring soon and the flaw\'s impact is lower, no update will be provided at this time for STF1.2\'s sg-core-container.  * Because Red Hat Ceph Storage only uses Go\'s archive/zip for the Grafana CLI and thus is not directly exploitable, the vulnerability has been rated low for Red Hat Ceph Storage.",,2021-08-30 00:00:00.000,,,http://somewhere.cloud/detail/CVE-2021-41772
my-fake-host-5.somewhere.cloud,redhat-RHEL7,CVE-2021-38297,411,image,critical,go,,1.17.1,,9.80,"fixed in 1.17.2, 1.16.9",,Red Hat\'s versions of the associated software have been determined to NOT be affected by CVE-2021-38297.,,2021-10-07 00:00:00.000,,,http://somewhere.cloud/detail/CVE-2021-38297
my-fake-host-6.somewhere.cloud,redhat-RHEL7,,6143,linux,critical,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.4.3) Ensure authentication required for single user mode,"Password should be set for user ""root"". File: /etc/shadow",,,,
my-fake-host-6.somewhere.cloud,redhat-RHEL7,,6628,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 6.2.8) Ensure users' home directories permissions are 750 or more restrictive,"Home directory permissions of 2 users are more permissive than 750, e.g /opt/splunkforwarder:755",,,,
my-fake-host-6.somewhere.cloud,redhat-RHEL7,CVE-2015-1258,46,image,moderate,libvpx,,1.3.0-8.el7,BSD,5.10,will not fix,,"Google Chrome before 43.0.2357.65 relies on libvpx code that was not built with an appropriate --size-limit value, which allows remote attackers to trigger a negative value for a size field, and consequently cause a denial of service or possibly have unspecified other impact, via a crafted frame size in VP9 video data.",,2015-05-20 10:59:00.000,,,http://somewhere.cloud/security/cve/CVE-2015-1258
my-fake-host-6.somewhere.cloud,redhat-RHEL7,CVE-2017-13194,46,image,low,libvpx,,1.3.0-8.el7,BSD,3.50,will not fix,,"A vulnerability in the Android media framework (libvpx) related to odd frame width. Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0, 8.1. Android ID: A-64710201.",,2018-01-12 23:29:00.000,,,http://somewhere.cloud/security/cve/CVE-2017-13194
my-fake-host-6.somewhere.cloud,redhat-RHEL7,CVE-2021-44716,411,image,high,go,,1.16.6,,7.50,"fixed in 1.17.5, 1.16.12",,net/http in Go before 1.16.12 and 1.17.x before 1.17.5 allows uncontrolled memory consumption in the header canonicalization cache via HTTP/2 requests.,,2022-01-01 05:15:00.000,,,http://somewhere.cloud/detail/CVE-2021-44716
my-fake-host-7.somewhere.cloud,redhat-RHEL7,,6518,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 5.1.8) Ensure at/cron is restricted to authorized users,Forbidden cron file exists. File /etc/cron.deny,,,,
my-fake-host-7.somewhere.cloud,redhat-RHEL7,CVE-2021-33197,411,image,medium,go,,1.14.4,,5.30,"fixed in 1.16.5, 1.15.13",,"Red Hat OpenShift Container Platform is Red Hat\'s cloud computing Kubernetes application platform solution designed for on-premise or private cloud deployments.  This advisory contains the RPM packages for Red Hat OpenShift Container Platform 4.8.9. See the following advisory for the container images for this release:  http://somewhere.cloud/errata/RHBA-2021:3247  Security Fix(es):  * golang: net/http: panic in ReadRequest and ReadResponse when reading a very large header (CVE-2021-31525)  * golang: net: lookup functions may return invalid host names (CVE-2021-33195)  * golang: net/http/httputil: ReverseProxy forwards connection headers if first one is empty (CVE-2021-33197)  * golang: math/big.Rat: may cause a panic or an unrecoverable fatal error if passed inputs with very large exponents (CVE-2021-33198)  * golang: crypto/tls: certificate of wrong type is causing TLS client to panic (CVE-2021-34558)  For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.  All OpenShift Container Platform 4.8 users are advised to upgrade to these updated packages and images when they are available in the appropriate release channel. To check for available updates, use the OpenShift Console or the CLI oc command. Instructions for upgrading a cluster are avail",,2021-05-21 00:00:00.000,,,http://somewhere.cloud/detail/CVE-2021-33197
my-fake-host-7.somewhere.cloud,redhat-RHEL7,CVE-2021-38297,411,image,critical,go,,1.17.1,,9.80,"fixed in 1.17.2, 1.16.9",,Red Hat\'s versions of the associated software have been determined to NOT be affected by CVE-2021-38297.,,2021-10-07 00:00:00.000,,,http://somewhere.cloud/detail/CVE-2021-38297
my-fake-host-7.somewhere.cloud,redhat-RHEL7,CVE-2021-44716,411,image,high,go,,1.17.1,,7.50,"fixed in 1.17.5, 1.16.12",,net/http in Go before 1.16.12 and 1.17.x before 1.17.5 allows uncontrolled memory consumption in the header canonicalization cache via HTTP/2 requests.,,2022-01-01 05:15:00.000,,,http://somewhere.cloud/detail/CVE-2021-44716
my-fake-host-7.somewhere.cloud,redhat-RHEL7,CVE-2016-1583,46,image,important,kernel,,3.10.0-1160.49.1.el7,GPLv2,8.10,affected,,"The ecryptfs_privileged_open function in fs/ecryptfs/kthread.c in the Linux kernel before 4.6.3 allows local users to gain privileges or cause a denial of service (stack memory consumption) via vectors involving crafted mmap calls for /proc pathnames, leading to recursive pagefault handling.",,2016-06-27 10:59:00.000,,,http://somewhere.cloud/security/cve/CVE-2016-1583
my-fake-host-8.somewhere.cloud,redhat-RHEL7,,6141,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.4.1) Ensure permissions on bootloader config are configured,"File permissions not configured properly, expected: 600, actual: 644. Full path: /boot/grub2/grub.cfg",,,,
my-fake-host-8.somewhere.cloud,redhat-RHEL7,,6143,linux,critical,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.4.3) Ensure authentication required for single user mode,"Password should be set for user ""root"". File: /etc/shadow",,,,
my-fake-host-8.somewhere.cloud,redhat-RHEL7,CVE-2020-15586,411,image,medium,go,,1.14.4,,5.90,"fixed in 1.14.5, 1.13.13",,"DOCUMENTATION: A flaw was found Go\'s net/http package. Servers using ReverseProxy from net/http in the Go standard library are vulnerable to a data race that results in a denial of service. The highest threat from this vulnerability is to system availability.             STATEMENT: OpenShift Container Platform (OCP) components are primarily written in Go, meaning that any component using the net/http package includes the vulnerable code. OCP server endpoints using ReverseProxy are protected by authentication, reducing the severity of this vulnerability to Low for OCP.  Similar to OCP, OpenShift ServiceMesh (OSSM), RedHat OpenShift Jaeger (RHOSJ) and OpenShift Virtualization are also primarily written in Go and are protected via authentication, reducing the severity of this vulnerability to Low.  Red Hat Gluster Storage 3 and Red Hat Openshift Container Storage 4 components are built with the affected version of Go, however the vulnerable functionality is currently not used by these products and hence this issue has been rated as having a security impact of Low.  Red Hat Ceph Storage 3 and 4 components are built with the affected version of Go, however the vulnerable functionality is currently not used by these products and hence this issue has been rated as having a security impact of Low.",,2020-07-14 00:00:00.000,,,http://somewhere.cloud/detail/CVE-2020-15586
my-fake-host-8.somewhere.cloud,redhat-RHEL7,CVE-2021-39293,411,image,high,go,,1.14.4,,7.50,"fixed in 1.17.1, 1.16.8",,"In archive/zip in Go before 1.16.8 and 1.17.x before 1.17.1, a crafted archive header (falsely designating that many files are present) can cause a NewReader or OpenReader panic. NOTE: this issue exists because of an incomplete fix for CVE-2021-33196.",,2022-01-24 01:15:00.000,,,http://somewhere.cloud/detail/CVE-2021-39293
my-fake-host-8.somewhere.cloud,redhat-RHEL7,CVE-2021-38297,411,image,critical,go,,1.14.4,,9.80,"fixed in 1.17.2, 1.16.9",,Red Hat\'s versions of the associated software have been determined to NOT be affected by CVE-2021-38297.,,2021-10-07 00:00:00.000,,,http://somewhere.cloud/detail/CVE-2021-38297
my-fake-host-9.somewhere.cloud,redhat-RHEL7,,6143,linux,critical,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.4.3) Ensure authentication required for single user mode,"Password should be set for user ""root"". File: /etc/shadow",,,,
my-fake-host-9.somewhere.cloud,redhat-RHEL7,,6628,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 6.2.8) Ensure users' home directories permissions are 750 or more restrictive,"Home directory permissions of 1 users are more permissive than 750, e.g /opt/splunkforwarder:755",,,,
my-fake-host-9.somewhere.cloud,redhat-RHEL7,CVE-2018-18606,46,image,low,binutils,,2.27-44.base.el7_9.1,GPLv3+,3.30,will not fix,,"An issue was discovered in the merge_strings function in merge.c in the Binary File Descriptor (BFD) library (aka libbfd), as distributed in GNU Binutils 2.31. There is a NULL pointer dereference in _bfd_add_merge_section when attempting to merge sections with large alignments. A specially crafted ELF allows remote attackers to cause a denial of service, as demonstrated by ld.",,2018-10-23 17:29:00.000,,,http://somewhere.cloud/security/cve/CVE-2018-18606
my-fake-host-9.somewhere.cloud,redhat-RHEL7,CVE-2018-20673,46,image,moderate,binutils,,2.27-44.base.el7_9.1,GPLv3+,5.30,will not fix,,"The demangle_template function in cplus-dem.c in GNU libiberty, as distributed in GNU Binutils 2.31.1, contains an integer overflow vulnerability (for \""Create an array for saving the template argument values\"") that can trigger a heap-based buffer overflow, as demonstrated by nm.",,2019-01-04 18:29:00.000,,,http://somewhere.cloud/security/cve/CVE-2018-20673
my-fake-host-9.somewhere.cloud,redhat-RHEL7,CVE-2021-44142,46,image,critical,samba-common,,4.10.16-17.el7_9,GPLv3+ and LGPLv3+,9.90,fixed in 4.10.16-18.el7_9,,"Samba is an open-source implementation of the Server Message Block (SMB) protocol and the related Common Internet File System (CIFS) protocol, which allow PC-compatible machines to share files, printers, and various information.  Security Fix(es):  * samba: Out-of-bounds heap read/write vulnerability in VFS module vfs_fruit allows code execution (CVE-2021-44142)  For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.  Bug Fix(es):  * Fix username map script regression introduced with CVE-2020-25717 (BZ#2046173)",,2022-01-31 00:00:00.000,,,http://somewhere.cloud/errata/RHSA-2022:0328
localhost,redhat-RHEL7,,60522,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 5.2.2) Ensure permissions on SSH private host key files are configured,"File ownership is wrong, expected: 0:root, actual 0:ssh_keys. Full path: /etc/ssh/ssh_host_ecdsa_key",,,,
localhost,redhat-RHEL7,,60522,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 5.2.2) Ensure permissions on SSH private host key files are configured,"File ownership is wrong, expected: 0:root, actual 0:ssh_keys. Full path: /etc/ssh/ssh_host_ed25519_key",,,,
localhost,redhat-RHEL7,,60522,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 5.2.2) Ensure permissions on SSH private host key files are configured,"File ownership is wrong, expected: 0:root, actual 0:ssh_keys. Full path: /etc/ssh/ssh_host_rsa_key",,,,
localhost,redhat-RHEL7,,6143,linux,critical,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.4.3) Ensure authentication required for single user mode,"Password should be set for user ""root"". File: /etc/shadow",,,,
localhost,redhat-RHEL7,,6629,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 6.2.9) Ensure users own their home directories,Home directory of user sftpGuest is owned by 0 but should be owned by 1003,,,,
localhost,redhat-RHEL7,CVE-2019-9704,46,image,low,cronie,,1.4.11-23.el7,MIT and BSD and ISC and GPLv2+,3.30,will not fix,,Vixie Cron before the 3.0pl1-133 Debian package allows local users to cause a denial of service (daemon crash) via a large crontab file because the calloc return value is not checked.,,,crond,,http://somewhere.cloud/security/cve/CVE-2019-9704
localhost,redhat-RHEL7,CVE-2019-9705,46,image,moderate,cronie,,1.4.11-23.el7,MIT and BSD and ISC and GPLv2+,5.50,will not fix,,Vixie Cron before the 3.0pl1-133 Debian package allows local users to cause a denial of service (memory consumption) via a large crontab file because an unlimited number of lines is accepted.,,,crond,,http://somewhere.cloud/security/cve/CVE-2019-9705
localhost,redhat-RHEL7,CVE-2021-44142,46,image,critical,samba-libs,,4.10.16-17.el7_9,GPLv3+ and LGPLv3+,9.90,fixed in 4.10.16-18.el7_9,,"Samba is an open-source implementation of the Server Message Block (SMB) protocol and the related Common Internet File System (CIFS) protocol, which allow PC-compatible machines to share files, printers, and various information.  Security Fix(es):  * samba: Out-of-bounds heap read/write vulnerability in VFS module vfs_fruit allows code execution (CVE-2021-44142)  For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.  Bug Fix(es):  * Fix username map script regression introduced with CVE-2020-25717 (BZ#2046173)",,2022-01-31 00:00:00.000,,,http://somewhere.cloud/errata/RHSA-2022:0328
localhost,redhat-RHEL7,CVE-2021-41772,411,image,high,go,,1.17.1,,7.50,"fixed in 1.17.3, 1.16.10",,"DOCUMENTATION: A vulnerability was found in archive/zip of the Go standard library. Applications written in Go where Reader.Open (the API implementing io/fs.FS introduced in Go 1.16) can panic when parsing a crafted ZIP archive containing completely invalid names or an empty filename argument.             STATEMENT: * In OpenShift Container Platform multiple components are written in Go and use archive/zip from the standard library. However, all such components are short lived client side tools, not long lived server side executables. As the maximum impact of this vulnerability is a denial of service in client utilities, this vulnerability is rated Low for OpenShift Container Plaform.  * Because Service Telemetry Framework1.2 will be retiring soon and the flaw\'s impact is lower, no update will be provided at this time for STF1.2\'s sg-core-container.  * Because Red Hat Ceph Storage only uses Go\'s archive/zip for the Grafana CLI and thus is not directly exploitable, the vulnerability has been rated low for Red Hat Ceph Storage.",,2021-08-30 00:00:00.000,,,http://somewhere.cloud/detail/CVE-2021-41772
localhost,redhat-RHEL7,CVE-2021-38297,411,image,critical,go,,1.17.1,,9.80,"fixed in 1.17.2, 1.16.9",,Red Hat\'s versions of the associated software have been determined to NOT be affected by CVE-2021-38297.,,2021-10-07 00:00:00.000,,,http://somewhere.cloud/detail/CVE-2021-38297
localhost,redhat-RHEL7,CVE-2020-24553,411,image,medium,go,,1.14.4,,6.10,"fixed in 1.15.1, 1.14.8",,Red Hat\'s versions of the associated software have been determined to NOT be affected by CVE-2020-24553.,,2020-08-01 00:00:00.000,,,http://somewhere.cloud/detail/CVE-2020-24553
my-fake-host-10.somewhere.cloud,redhat-RHEL7,,6141,linux,high,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.4.1) Ensure permissions on bootloader config are configured,"File permissions not configured properly, expected: 600, actual: 644. Full path: /boot/grub2/grub.cfg",,,,
my-fake-host-10.somewhere.cloud,redhat-RHEL7,,6143,linux,critical,,,,,0.00,,,(CIS_Linux_2.0.0 - 1.4.3) Ensure authentication required for single user mode,"Password should be set for user ""root"". File: /etc/shadow",,,,
my-fake-host-10.somewhere.cloud,redhat-RHEL7,CVE-2018-20622,46,image,low,jasper-libs,,1.900.1-33.el7,JasPer,3.30,will not fix,,"JasPer 2.0.14 has a memory leak in base/jas_malloc.c in libjasper.a when \""--output-format jp2\"" is used.",,2018-12-31 00:00:00.000,,,http://somewhere.cloud/security/cve/CVE-2018-20622
my-fake-host-10.somewhere.cloud,redhat-RHEL7,CVE-2021-3467,46,image,moderate,jasper-libs,,1.900.1-33.el7,JasPer,5.50,will not fix,,DOCUMENTATION: A NULL pointer dereference flaw was found in Jasper in the way it handled component references in the CDEF box in the JP2 image format decoder. This flaw allows a specially crafted JP2 image file to cause an application using the Jasper library to crash when opened. The highest threat from this vulnerability is system availability.,,2021-03-02 00:00:00.000,,,http://somewhere.cloud/security/cve/CVE-2021-3467
my-fake-host-10.somewhere.cloud,redhat-RHEL7,CVE-2017-15118,46,image,important,qemu-guest-agent,,2.12.0-3.el7,GPLv2,8.30,affected,,"A stack-based buffer overflow vulnerability was found in NBD server implementation in qemu before 2.11 allowing a client to request an export name of size up to 4096 bytes, which in fact should be limited to 256 bytes, causing an out-of-bounds stack write in the qemu process. If NBD server requires TLS, the attacker cannot trigger the buffer overflow without first successfully negotiating TLS.",,2018-07-27 21:29:00.000,,,http://somewhere.cloud/security/cve/CVE-2017-15118
