rule,nistid
logs-no-alarm-iam-policy-changes,AC-2
logs-no-alarm-nacl-changes,CM-6(2)
logs-no-alarm-network-gateways-changes,AU-12|CM-6(2)
logs-no-alarm-root-usage,AU-2
logs-no-alarm-route-table-changes,AU-12|CM-6(2)
logs-no-alarm-s3-policy-changes,AC-6|AU-12
logs-no-alarm-security-group-changes,AC-2(4)
logs-no-alarm-signin-without-mfa,AC-2
logs-no-alarm-unauthorized-api-calls,AU-6|SI-4(2)
logs-no-alarm-vpc-changes,CM-6(1)
rds-instance-backup-disabled,CP-9
rds-instance-ca-certificate-deprecated,SC-12
rds-instance-no-minor-upgrade,SI-2
rds-instance-short-backup-retention-period,CP-9
rds-instance-single-az,CP-7
rds-instance-storage-not-encrypted,SC-28
rds-postgres-instance-with-invalid-certificate,SC-12
rds-security-group-allows-all,CM-7(1)
rds-snapshot-public,SC-28
redshift-cluster-database-not-encrypted,SC-28
redshift-cluster-no-version-upgrade,SI-2
redshift-cluster-publicly-accessible,AC-3
redshift-parameter-group-logging-disabled,AU-12
redshift-parameter-group-ssl-not-required,SC-8
redshift-security-group-whitelists-all,CM-7(1)
route53-domain-no-autorenew,SC-2
route53-domain-no-transferlock,SC-2
route53-domain-transferlock-not-authorized,SC-2
s3-bucket-allowing-cleartext,SC-28
s3-bucket-no-default-encryption,SC-28
s3-bucket-no-logging,AU-2|AU-12
s3-bucket-no-mfa-delete,SI-7
s3-bucket-no-versioning,SI-7
s3-bucket-world-acl,AC-3(3)
s3-bucket-world-policy-arg,AC-3(3)
s3-bucket-world-policy-star,AC-3(3)
ses-identity-dkim-not-enabled,SC-23
ses-identity-dkim-not-verified,SC-23
ses-identity-world-policy,AC-6
sns-topic-world-policy,AC-6
sqs-queue-world-policy,AC-6
vpc-custom-network-acls-allow-all,SC-7
vpc-default-network-acls-allow-all,SC-7
vpc-network-acl-not-used,SC-7
vpc-routing-tables-with-peering,AC-3(3)
vpc-subnet-with-bad-acls,SC-7
vpc-subnet-with-default-acls,SC-7
vpc-subnet-without-flow-log,AU-12
